study_hours,attendance,sleep_hours,exam_score
7,93,4,74
4,73,4,50
11,64,6,85
8,81,9,82
5,81,8,70
7,73,5,64
10,90,5,82
3,98,6,62
7,98,5,68
11,61,4,85
11,88,8,89
8,51,7,62
5,52,5,56
4,98,4,61
8,86,7,82
8,98,8,89
3,66,7,53
6,98,4,61
5,51,9,63
2,51,9,47
8,77,7,81
12,72,6,87
6,86,7,67
2,81,5,46
12,82,5,90
5,50,9,59
1,68,6,38
12,51,4,77
10,93,5,84
6,75,9,71
12,81,8,94
9,55,9,81
1,81,5,36
11,53,5,68
11,60,9,85
10,66,4,71
12,87,7,97
12,73,5,92
3,54,9,59
12,83,9,99
7,55,6,62
4,71,7,53
9,60,8,78
3,97,4,52
5,65,8,65
3,82,7,53
7,58,7,69
5,55,7,65
9,65,8,79
7,78,7,74
2,52,9,54
4,69,8,59
9,85,7,84
12,68,9,95
2,75,6,49
10,52,7,73
9,68,8,81
10,69,5,78
5,81,7,73
2,56,5,45
4,90,9,81
12,82,6,87
12,89,4,91
7,88,6,73
12,67,7,100
8,89,5,70
3,50,5,38
1,60,8,43
4,77,5,43
2,74,8,52
8,99,9,85
4,72,4,50
2,80,7,55
6,79,8,81
6,91,4,68
10,84,5,77
4,56,5,43
6,65,4,58
2,75,5,39
10,97,9,100
12,98,9,100
2,51,4,35
10,50,8,70
4,97,8,76
8,61,4,62
7,54,8,74
12,86,8,90
9,81,9,84
8,58,8,73
5,90,6,65
2,84,7,52
5,68,5,59
8,97,6,74
10,65,8,83
9,52,9,79
12,69,4,83
12,73,8,97
12,82,9,94
9,73,7,71
1,60,8,52
9,98,4,79
7,57,9,68
9,85,9,96
8,87,9,86
1,89,7,58
12,69,8,93
8,84,7,89
8,97,5,85
11,74,5,80
3,84,8,66
1,74,7,50
8,78,4,74
3,67,9,54
3,95,9,71
1,67,8,53
11,51,5,66
5,84,5,54
10,65,9,76
7,90,8,78
10,85,7,90
9,82,5,83
12,53,7,85
7,82,5,76
9,63,5,63
8,70,6,62
12,97,5,92
2,69,4,43
1,57,8,45
7,56,8,58
7,52,7,64
8,66,5,60
5,82,4,60
3,97,7,64
12,61,6,80
8,100,7,80
6,71,7,61
11,71,5,80
3,95,6,63
1,79,7,44
3,87,4,53
5,87,4,55
3,94,8,60
1,100,6,51
5,57,6,50
10,76,8,84
7,76,7,66
7,83,6,81
11,70,4,77
9,79,4,68
10,82,5,81
10,77,6,81
12,96,7,97
3,82,8,64
7,54,8,72
1,97,7,51
4,68,9,61
4,53,5,46
5,84,8,58
7,98,6,68
7,66,5,70
11,93,6,98
4,77,4,50
7,79,5,70
11,78,8,93
3,95,5,71
6,55,5,61
12,84,5,88
2,90,9,57
10,86,5,73
9,73,6,77
5,78,4,52
6,98,7,67
12,95,5,88
12,80,8,91
12,84,5,97
12,82,8,100
4,70,6,55
11,81,8,100
10,72,7,83
7,82,4,60
12,52,8,95
9,67,8,83
7,74,4,57
1,91,7,51
1,80,5,39
9,52,8,69
11,89,4,87
9,95,6,92
4,73,4,43
9,99,6,87
3,81,7,54
7,96,5,69
6,71,4,54
8,72,9,76
11,51,8,84
9,76,7,76
5,91,4,61
1,51,8,43
3,75,4,45
10,66,6,73
